ID,Original Hook,Original Tone,Tone v2,Fit for Chị Hiền,Stage,Calendar Stage Match,Best Format,Hook Type,Risk,Adapt Direction,Chị Hiền Hook,Use Case,Note
H064,Bạn đã bao giờ thử tự nói 'mình xứng đáng hơn thế này' chưa?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đã bao giờ thử tự nói 'mình xứng đáng hơn thế này' chưa?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H065,"Tự yêu mình không phải là skincare, là cách bạn đối thoại với bản thân.",Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Tự yêu mình không phải là skincare, là cách bạn đối thoại với bản thân.","Giá trị bản thân, bản sắc, thay đổi","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H066,"Bạn có đang đòi hỏi sự tôn trọng từ ngoài, khi chính bạn còn không tôn trọng mình?",Insightful,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có đang đòi hỏi sự tôn trọng từ ngoài, khi chính bạn còn không tôn trọng mình?","Ranh giới, quan hệ, năng lượng xung quanh",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H067,"Ngày bạn ngừng xin phép được tồn tại, là ngày cuộc đời bắt đầu khác.",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Ngày bạn ngừng xin phép được tồn tại, là ngày cuộc đời bắt đầu khác.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H068,Bạn yêu bản thân bằng cách nào ngoài việc 'cố gắng hơn nữa'?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn yêu bản thân bằng cách nào ngoài việc 'cố gắng hơn nữa'?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H069,Bạn có đang đối xử với mình như cách bạn mong người khác đối xử với bạn?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang đối xử với mình như cách bạn mong người khác đối xử với bạn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H070,"Nếu con bạn sống như cách bạn đang sống, bạn có thấy ổn không?",Inspirational,Gentle,PASS,30 bài đầu,D15-D21,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu con bạn sống như cách bạn đang sống, bạn có thấy ổn không?","Gia đình, khuôn mẫu cũ, vai trò phụ nữ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H071,"Bạn đang dạy con mình cách sống, hay cách tiếp tục chịu đựng?",Insightful,Insightful,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn đang dạy con mình cách sống, hay cách tiếp tục chịu đựng?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H072,Bạn có đang lặp lại đúng mô thức của bố mẹ mà bạn từng sợ?,Reflective,Reflective,PASS,30 bài đầu,D15-D21,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang lặp lại đúng mô thức của bố mẹ mà bạn từng sợ?,"Gia đình, khuôn mẫu cũ, vai trò phụ nữ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H073,Bạn muốn truyền cho thế hệ sau nỗi sợ hay sự can đảm?,Confrontational,Confrontational,ADAPT,30 bài đầu,D15-D21,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn muốn truyền cho thế hệ sau nỗi sợ hay sự can đảm?,"Gia đình, khuôn mẫu cũ, vai trò phụ nữ",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H074,"Có điều gì bạn hứa với bản thân nhỏ là không bao giờ lặp lại, nhưng vẫn làm?",Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Có điều gì bạn hứa với bản thân nhỏ là không bao giờ lặp lại, nhưng vẫn làm?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H075,Bạn có đang sống cuộc đời mà ngày xưa bạn từng nói 'sau này mình sẽ không vậy'?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang sống cuộc đời mà ngày xưa bạn từng nói 'sau này mình sẽ không vậy'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H076,Câu chuyện gia đình bạn tin vào có còn đúng với bạn hôm nay?,Insightful,Insightful,PASS,30 bài đầu,D15-D21,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Câu chuyện gia đình bạn tin vào có còn đúng với bạn hôm nay?,"Gia đình, khuôn mẫu cũ, vai trò phụ nữ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H077,Bạn đang chữa lành hay chỉ đang lấp đi cho đỡ đau?,Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang chữa lành hay chỉ đang lấp đi cho đỡ đau?,"Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H078,Bạn có đang đặt con mình lên trước nhưng đặt bản thân xuống cuối cùng?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang đặt con mình lên trước nhưng đặt bản thân xuống cuối cùng?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H079,Bạn muốn con tin vào điều gì khi nhìn vào cuộc đời bạn?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn muốn con tin vào điều gì khi nhìn vào cuộc đời bạn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H080,"Nếu con bạn bắt chước cách bạn yêu chính mình, bạn thấy sao?",Inspirational,Gentle,PASS,30 bài đầu,D15-D21,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu con bạn bắt chước cách bạn yêu chính mình, bạn thấy sao?","Gia đình, khuôn mẫu cũ, vai trò phụ nữ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H081,"Bạn không lười, bạn đang kiệt sức vì cố gắng làm người khác hài lòng.",Insightful,Insightful,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không lười, bạn đang kiệt sức vì cố gắng làm người khác hài lòng.","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H082,Bạn có đang dùng 'hoàn hảo' như cái cớ để chẳng bao giờ bắt đầu?,Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang dùng 'hoàn hảo' như cái cớ để chẳng bao giờ bắt đầu?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H083,Bạn đang đợi hết sợ rồi mới làm hay vừa run vừa làm?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đang đợi hết sợ rồi mới làm hay vừa run vừa làm?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H084,Có bao nhiêu giấc mơ bạn đã gấp lại vì sợ người khác nói gì?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Có bao nhiêu giấc mơ bạn đã gấp lại vì sợ người khác nói gì?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H085,Bạn có đang sống như bản nháp của chính cuộc đời mình?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang sống như bản nháp của chính cuộc đời mình?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H086,Bạn làm việc để được công nhận hay để được tự do?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn làm việc để được công nhận hay để được tự do?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H087,Bạn đang đuổi theo thành công của ai: bạn hay xã hội?,Reflective,Reflective,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang đuổi theo thành công của ai: bạn hay xã hội?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H088,Có bao nhiêu 'thành công' bạn đạt được mà vẫn thấy trống rỗng?,Confrontational,Confrontational,ADAPT,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có bao nhiêu 'thành công' bạn đạt được mà vẫn thấy trống rỗng?,"Công việc, tự do, kỷ luật, nhịp sống",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H089,Bạn đang tìm kiếm thành tích hay sự bình an?,Gentle,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang tìm kiếm thành tích hay sự bình an?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H090,"Nếu thành công không đăng được lên mạng, bạn còn muốn không?",Inspirational,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu thành công không đăng được lên mạng, bạn còn muốn không?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H091,Bạn có đang tin rằng 'mình phải khổ mới xứng đáng được nhận'?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang tin rằng 'mình phải khổ mới xứng đáng được nhận'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H092,"Bạn nghĩ sao nếu cuộc đời có thể vừa nhẹ, vừa đủ, vừa giàu?",Reflective,Reflective,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn nghĩ sao nếu cuộc đời có thể vừa nhẹ, vừa đủ, vừa giàu?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H093,Bạn đang chọn chiến đấu hay chọn nhảy khỏi cuộc chơi cũ?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đang chọn chiến đấu hay chọn nhảy khỏi cuộc chơi cũ?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H094,Bạn có đang nhầm lẫn 'chịu khó' với việc chấp nhận ít hơn mình xứng đáng?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang nhầm lẫn 'chịu khó' với việc chấp nhận ít hơn mình xứng đáng?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H095,Bạn đã bao lần tự sabo chính mình ngay trước vạch đích?,Inspirational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đã bao lần tự sabo chính mình ngay trước vạch đích?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H096,Bạn có nhận ra mình đang lặp lại cùng một bài học với những cái tên khác nhau?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có nhận ra mình đang lặp lại cùng một bài học với những cái tên khác nhau?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H097,"Mỗi lần bạn quay lại vùng an toàn, bạn rời xa chính mình thêm một chút.",Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Mỗi lần bạn quay lại vùng an toàn, bạn rời xa chính mình thêm một chút.","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H098,Bạn có đang dùng 'định mệnh' để trốn trách nhiệm với lựa chọn của mình?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang dùng 'định mệnh' để trốn trách nhiệm với lựa chọn của mình?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H099,"Bạn tin vũ trụ không ưa, hay bạn chưa thật sự ủng hộ chính mình?",Gentle,Gentle,REJECT,Không dùng,Không dùng,—,Spiritual,Quá spiritual / Lệch voice chị Hiền,Không dùng,Không dùng cho chị Hiền.,—,Voice chị Hiền không dùng spiritual / linh hồn / vũ trụ. REJECT.
H100,Bạn đã bao lần chọn im lặng dù tim mình gào 'không'?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đã bao lần chọn im lặng dù tim mình gào 'không'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H101,"Bạn không thiếu cơ hội, bạn thiếu bản thân dám gật đầu với cơ hội.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không thiếu cơ hội, bạn thiếu bản thân dám gật đầu với cơ hội.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H102,Bạn đang chờ cửa sổ mới mở ra hay vẫn ôm khung cửa cũ?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang chờ cửa sổ mới mở ra hay vẫn ôm khung cửa cũ?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H103,Bạn có đang phản ứng với cuộc đời hay đang chủ động thiết kế nó?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang phản ứng với cuộc đời hay đang chủ động thiết kế nó?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H104,Bạn sống theo lịch người khác hay theo nhịp của mình?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn sống theo lịch người khác hay theo nhịp của mình?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H105,Bạn có đang lái xe cuộc đời mình hay chỉ là hành khách?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang lái xe cuộc đời mình hay chỉ là hành khách?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H106,"Mỗi lần bạn nói 'chắc vậy cũng được', một phần bạn tắt đi.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Mỗi lần bạn nói 'chắc vậy cũng được', một phần bạn tắt đi.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H107,Bạn muốn cuộc sống 'chịu được' hay cuộc sống 'đáng sống'?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn muốn cuộc sống 'chịu được' hay cuộc sống 'đáng sống'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H108,"Bạn có đang sống để kể lại, hay chỉ để sống sót?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có đang sống để kể lại, hay chỉ để sống sót?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H109,Bạn đang xây câu chuyện nào để sau này kể lại?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang xây câu chuyện nào để sau này kể lại?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H110,"Nếu kể lại cuộc đời mình trong 1 trang giấy, bạn có hài lòng?",Inspirational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu kể lại cuộc đời mình trong 1 trang giấy, bạn có hài lòng?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H111,"Bạn không cần làm nhiều hơn, bạn cần làm đúng hơn.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Long FB / Reel 90-120s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không cần làm nhiều hơn, bạn cần làm đúng hơn.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H112,Bao nhiêu việc bạn làm chỉ để trốn việc thật sự quan trọng?,Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bao nhiêu việc bạn làm chỉ để trốn việc thật sự quan trọng?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H113,Bạn có đang nhầm lẫn bận rộn với hiệu quả?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang nhầm lẫn bận rộn với hiệu quả?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H114,Lịch của bạn nói gì về điều bạn coi trọng?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Lịch của bạn nói gì về điều bạn coi trọng?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H115,Bạn có đang dành thời gian cho phiên bản tương lai của mình không?,Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang dành thời gian cho phiên bản tương lai của mình không?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H116,Bạn đang đối xử với thời gian như vô hạn hay quý giá?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang đối xử với thời gian như vô hạn hay quý giá?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H117,Bạn có đang làm việc như thể đời này còn rất nhiều 'lần sau'?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang làm việc như thể đời này còn rất nhiều 'lần sau'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H118,Việc bạn trì hoãn hôm nay đang chất lên ai trong tương lai?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Việc bạn trì hoãn hôm nay đang chất lên ai trong tương lai?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H119,Bạn có đang thuê tương lai của mình gánh hết mọi cái giá hôm nay?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang thuê tương lai của mình gánh hết mọi cái giá hôm nay?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H120,Mỗi 'để mai' là một viên gạch xây tường chắn ước mơ của bạn.,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Mỗi 'để mai' là một viên gạch xây tường chắn ước mơ của bạn.,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H121,"Bạn không cần thêm một khóa học, bạn cần một quyết định.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Long FB / Reel 90-120s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không cần thêm một khóa học, bạn cần một quyết định.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H122,"Bạn có đang học để trốn, hay học để làm thật?",Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang học để trốn, hay học để làm thật?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H123,Bao nhiêu kiến thức bạn 'biết rồi' nhưng chưa sống cùng nó?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Bao nhiêu kiến thức bạn 'biết rồi' nhưng chưa sống cùng nó?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H124,Bạn đang thu thập kiến thức hay đang xây cuộc đời?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang thu thập kiến thức hay đang xây cuộc đời?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H125,Lần cuối bạn áp dụng một bài học vào đời thật là khi nào?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Lần cuối bạn áp dụng một bài học vào đời thật là khi nào?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H126,"Bạn có đang chờ đủ giỏi mới bắt đầu, hay bắt đầu để giỏi lên?",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có đang chờ đủ giỏi mới bắt đầu, hay bắt đầu để giỏi lên?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
